"Review_order_editorial","Decision","Offer","ClickBank_vendor_ID","ShoppeCove_topic","Product_format","Why_this_decision","Suggested_blog_title_after_verification","Keyword_ideas_NOT_volume_validated","Avg_net_commission_per_conversion_USD_90d","CVR_percent_30d","EPC_net_USD_30d","Gravity_90d","Marketplace_rank","Seller_commission_terms_NOT_account_confirmed","Approval_and_blog_permission","Key_promotion_restrictions_or_editorial_limits","US_availability_verification","Assets_and_review_access","Next_action","Marketplace_source_URL","Affiliate_resources_URL","Additional_source_URLs","Verification_depth","Checked_on","Metric_and_research_limitations","Existing_user_supplied_affiliate_link"
"1","Keep current offer","Matsato Osuren Knife","MATSATOPRO","Kitchen & cooking","Physical knife","Closest fit to the existing kitchen content and already has a supplied tracked link. Stronger observed EPC than most shortlisted home/recipe offers; not evidence of knife quality.","Matsato Osuren: grip, size, care and what to check before buying","Matsato Osuren knife review; finger hole chef knife","41.59","2.49","1.02","13.3","183","Rate not published on the affiliate page. CPA available; individual rate and volume increases require seller confirmation.","Marketplace approval badge not shown. Seller publishes restrictions specifically for organic affiliates.","No brand bidding, brand domains/redirects, brand logos/design elements, official-site implication, or MATSATO in the site header/footer. Use neutral ShoppeCove branding.","USA explicitly identified as a target market by seller; verify delivered US price, shipping and returns before quoting.","User-supplied official image folder available; use permitted product photos. Hands-on testing still needed for performance endorsements.","Continue the existing kitchen cluster. Verify blade specifications, US delivered price and return costs; document any hands-on testing accurately.","https://accounts.clickbank.com/master/dashboard/affiliate-marketplace?v=0.8760345200925472#/offer-details?offer=MATSATOPRO&clickUrl=https%3A%2F%2Fhop.clickbank.net%2F%3Faffiliate%3Dzzzzz%26vendor%3DMATSATOPRO","https://matsato-osuren.com/matsato-osuren/affiliates","https://drive.google.com/drive/folders/1P5lnDRsD9zKaMyXMv3xgbnpj5y3WsUaC","Marketplace metrics and current seller affiliate page read; user supplied tracked link; no independent product test.","2026-09-19","Snapshot 2026-09-19. Marketplace-wide metrics, not US-only or blog-specific; not an earnings forecast or product endorsement. Average conversion commission includes initial and future commissions; EPC is net commission per click; gravity is a weighted affiliate-sales score. Blank numeric cells = unavailable; zero = displayed zero/rounded value, not proof of no sales. Seller rates may differ by affiliate. Keywords are ideas, not validated volume/difficulty. 107 unique listings screened across E-Commerce, Home & Garden, Cooking/Food/Wine, Green Products and sleep search; 29 selected for this comparison. Review order reflects topic fit, evidence and restrictions, not a calculated score. Products not independently tested; full checkout/refund experience not verified. Metric definitions: https://support.clickbank.com/en/articles/10535274-how-do-i-use-the-clickbank-marketplace-stats","https://5c1abeu6xrjqzx6bje76681mqp.hop.clickbank.net/?&traffic_source=blog"
"2","Review sample next","The Complete Plant-Based Recipe Cookbook","PLANTBC","Kitchen & cooking","Digital cookbook","Best new topic fit: recipe testing and meal preparation naturally support the Matsato kitchen cluster. Observed CVR is 1.81%, but the average commission is only $11.57.","A beginner plant-based cookbook: recipe variety, ingredients and usability","plant based cookbook for beginners; easy plant based meal prep","11.57","1.81","0.15","6.5","441","Seller: 75% main offer; 40% order bump; 75% Veg Out and Vegan Air Fryer upsells; 10% Plant-Based for Kids upsell. Account-specific rate not checked.","Approval badge not shown. Affiliate page explicitly permits blogs, review pages and Pinterest.","Use original recipe-test observations; do not copy swipes implying personal use. Avoid unsubstantiated weight-loss or disease claims. Seller keyword difficulty and EPC claims are unverified.","English digital offer; US suitability inferred. US checkout, price and refund process not independently tested.","Book images, banners and lead-magnet resources published. Review copy not obtained.","Request a review copy and confirm current price: affiliate page says $19.95 while listing copy says $24. Test several recipes; verify portions, US units, ingredients and allergens.","https://accounts.clickbank.com/master/dashboard/affiliate-marketplace?v=0.8760345200925472#/offer-details?offer=PLANTBC&clickUrl=https%3A%2F%2Fhop.clickbank.net%2F%3Faffiliate%3Dzzzzz%26vendor%3DPLANTBC","https://plantbasedcookbook.com/affiliate-tools","","Marketplace and seller affiliate resource page read; product, checkout and advertised traffic results not independently tested.","2026-09-19","Snapshot 2026-09-19. Marketplace-wide metrics, not US-only or blog-specific; not an earnings forecast or product endorsement. Average conversion commission includes initial and future commissions; EPC is net commission per click; gravity is a weighted affiliate-sales score. Blank numeric cells = unavailable; zero = displayed zero/rounded value, not proof of no sales. Seller rates may differ by affiliate. Keywords are ideas, not validated volume/difficulty. 107 unique listings screened across E-Commerce, Home & Garden, Cooking/Food/Wine, Green Products and sleep search; 29 selected for this comparison. Review order reflects topic fit, evidence and restrictions, not a calculated score. Products not independently tested; full checkout/refund experience not verified. Metric definitions: https://support.clickbank.com/en/articles/10535274-how-do-i-use-the-clickbank-marketplace-stats",""
"3","Review sample next","Declutter Fast","INORDER","Home organization","Digital guide","Direct home-organization fit with useful supporting articles; very little recent marketplace activity is visible. Treat as a small editorial pilot.","A practical decluttering guide: what to look for before buying","decluttering guide for beginners; how to organize a cluttered room","10.88","0","0","0.1","820","75% stated in marketplace listing; affiliate page describes maximum commission without a numeric rate. Confirm current account rate.","Seller page says no approval wait for website promotion. Written permission required for brand use in a blog title/domain and for images.","Do not use Declutter Fast in blog titles or domains without permission; no copying seller videos/page; images need express written permission; no negative buzzwords.","English digital offer; US suitability inferred. US checkout, price and refund process not independently tested.","Use original organizational photos or obtain written image permission. Review copy not obtained.","Request a review copy plus written title/image permission. Until granted, use a generic topic title and original visuals; inspect whether the advice adds value over free guidance.","https://accounts.clickbank.com/master/dashboard/affiliate-marketplace?v=0.8760345200925472#/offer-details?offer=INORDER&clickUrl=https%3A%2F%2Fhop.clickbank.net%2F%3Faffiliate%3Dzzzzz%26vendor%3DINORDER","https://declutterfast.com/affiliates.html","","Marketplace metrics and seller affiliate terms read; guide not reviewed.","2026-09-19","Snapshot 2026-09-19. Marketplace-wide metrics, not US-only or blog-specific; not an earnings forecast or product endorsement. Average conversion commission includes initial and future commissions; EPC is net commission per click; gravity is a weighted affiliate-sales score. Blank numeric cells = unavailable; zero = displayed zero/rounded value, not proof of no sales. Seller rates may differ by affiliate. Keywords are ideas, not validated volume/difficulty. 107 unique listings screened across E-Commerce, Home & Garden, Cooking/Food/Wine, Green Products and sleep search; 29 selected for this comparison. Review order reflects topic fit, evidence and restrictions, not a calculated score. Products not independently tested; full checkout/refund experience not verified. Metric definitions: https://support.clickbank.com/en/articles/10535274-how-do-i-use-the-clickbank-marketplace-stats",""
"4","Review sample next","The Homeowner's HVAC Guide - Complete Protection Pack","TRADLEDGER","Home maintenance decisions","Digital consumer guide","Useful homeowner decision topic with a low medical-claim burden. No average commission or meaningful recent sales signal is displayed, so commercial performance is unproven.","Questions to ask before accepting an HVAC repair quote","HVAC repair quote questions; compare HVAC estimates",,"0","0","0","1164","Seller: starts at 50%; 60% at 25-99 sales, 65% at 100-249, up to 75% at 250+. Seller lists $29.99 price; verify current checkout.","Approval badge not shown. Affiliate center explicitly describes blog and search promotion.","Keep coverage to evaluating quotes and buying decisions. Have technical statements checked; do not turn the article into gas or electrical repair instructions.","English digital offer; US suitability inferred. US checkout, price and refund process not independently tested.","Affiliate campaign toolkit published; review pack not obtained.","Inspect the complete pack for useful checklists, current US context and seller credentials. Confirm commission tier and checkout, then create an original consumer guide.","https://accounts.clickbank.com/master/dashboard/affiliate-marketplace?v=0.8760345200925472#/offer-details?offer=TRADLEDGER&clickUrl=https%3A%2F%2Fhop.clickbank.net%2F%3Faffiliate%3Dzzzzz%26vendor%3DTRADLEDGER","https://tradesmanledgerpress.com/affiliate-center","","Marketplace and seller affiliate center read; guide quality, credentials and checkout not independently verified.","2026-09-19","Snapshot 2026-09-19. Marketplace-wide metrics, not US-only or blog-specific; not an earnings forecast or product endorsement. Average conversion commission includes initial and future commissions; EPC is net commission per click; gravity is a weighted affiliate-sales score. Blank numeric cells = unavailable; zero = displayed zero/rounded value, not proof of no sales. Seller rates may differ by affiliate. Keywords are ideas, not validated volume/difficulty. 107 unique listings screened across E-Commerce, Home & Garden, Cooking/Food/Wine, Green Products and sleep search; 29 selected for this comparison. Review order reflects topic fit, evidence and restrictions, not a calculated score. Products not independently tested; full checkout/refund experience not verified. Metric definitions: https://support.clickbank.com/en/articles/10535274-how-do-i-use-the-clickbank-marketplace-stats",""
"5","Review sample next","NanoTowels / Weird Fabric","WATERLIB","Home cleaning","Physical cleaning cloth","Relevant physical household product suitable for original comparison photos. Very low observed EPC ($0.01) and exaggerated seller copy make this a cautious sample test.","Reusable cleaning cloths: absorbency, streaking and washing compared","reusable cleaning cloth review; NanoTowels review","16.66","0.18","0.01","0.5","911","Percentage not verified. Seller advertises up to $88 per sale across its funnel; observed average is $16.66, not a promised payout.","Approval badge not shown; affiliate page supplies ClickBank setup and terms. Confirm blog campaign acceptability and exact rate.","No brand bidding, copied/transcribed/paraphrased seller videos, seller before/after photos, official-owner implication, scam wording or direct-checkout links. Do not repeat health-scare or universal cleaner-replacement claims.","Seller identifies US as primary market. Confirm current US shipping, total price and return costs.","Approved banners/images supplied; sample possibility mentioned for large-following influencers. Eligibility for ShoppeCove is unconfirmed.","Obtain a sample; compare with a standard microfiber cloth on several surfaces, including after washing. Describe cleaning separately from disinfection.","https://accounts.clickbank.com/master/dashboard/affiliate-marketplace?v=0.8760345200925472#/offer-details?offer=WATERLIB&clickUrl=https%3A%2F%2Fhop.clickbank.net%2F%3Faffiliate%3Dzzzzz%26vendor%3DWATERLIB","https://www.nanolons.com/jv-tools","","Marketplace and seller affiliate resources/terms read; no product test or independent performance substantiation.","2026-09-19","Snapshot 2026-09-19. Marketplace-wide metrics, not US-only or blog-specific; not an earnings forecast or product endorsement. Average conversion commission includes initial and future commissions; EPC is net commission per click; gravity is a weighted affiliate-sales score. Blank numeric cells = unavailable; zero = displayed zero/rounded value, not proof of no sales. Seller rates may differ by affiliate. Keywords are ideas, not validated volume/difficulty. 107 unique listings screened across E-Commerce, Home & Garden, Cooking/Food/Wine, Green Products and sleep search; 29 selected for this comparison. Review order reflects topic fit, evidence and restrictions, not a calculated score. Products not independently tested; full checkout/refund experience not verified. Metric definitions: https://support.clickbank.com/en/articles/10535274-how-do-i-use-the-clickbank-marketplace-stats",""
"6","Small pilot after review","Night Switch - 11-Min Audio + 14-Night Guide","GETNSWITCH","Sleep & comfort routines","Digital audio and habit guide","A non-supplement sleep-adjacent option with narrowly limited claims. Too new to assess sales performance; useful only if the actual audio/guide merits its price.","A bedtime audio routine: usability and what the guide includes","bedtime relaxation audio review; Night Switch review",,"0","0","0","1168","Seller: 75% on $37 front end; 60-day refund. Advertised $27.75 is gross arithmetic, not the observed net commission after fees/refunds.","Approval badge not shown. Public affiliate tools and a permitted-claims list are available; confirm organic review terms.","No insomnia-treatment, medication-replacement, clinical-proof, FDA, fake-doctor, guaranteed-sleep or invented-testimonial claims. Stay within relaxation/routine descriptions.","English digital offer; US suitability inferred. US checkout, price and refund process not independently tested.","Affiliate creative kit and a 3-minute audio preview published. Full product not obtained.","Listen to the preview, inspect the full guide and evaluate usability/value versus free relaxation audio. Use a small organic pilot only after the review and link checks.","https://accounts.clickbank.com/master/dashboard/affiliate-marketplace?v=0.8760345200925472#/offer-details?offer=GETNSWITCH&clickUrl=https%3A%2F%2Fhop.clickbank.net%2F%3Faffiliate%3Dzzzzz%26vendor%3DGETNSWITCH","https://www.getnightswitch.com/affiliates","","Marketplace and current seller affiliate page read; full product and checkout not tested.","2026-09-19","Snapshot 2026-09-19. Marketplace-wide metrics, not US-only or blog-specific; not an earnings forecast or product endorsement. Average conversion commission includes initial and future commissions; EPC is net commission per click; gravity is a weighted affiliate-sales score. Blank numeric cells = unavailable; zero = displayed zero/rounded value, not proof of no sales. Seller rates may differ by affiliate. Keywords are ideas, not validated volume/difficulty. 107 unique listings screened across E-Commerce, Home & Garden, Cooking/Food/Wine, Green Products and sleep search; 29 selected for this comparison. Review order reflects topic fit, evidence and restrictions, not a calculated score. Products not independently tested; full checkout/refund experience not verified. Metric definitions: https://support.clickbank.com/en/articles/10535274-how-do-i-use-the-clickbank-marketplace-stats",""
"7","Later topic expansion","Ultimate Small Shop","USMALLSHOP","DIY & workshops","Digital workshop guide","Practical layout and buying-decision topics could support a coherent DIY cluster. Requires woodworking knowledge and has a low observed EPC of $0.03.","Planning a small garage workshop: layout and tool priorities","small garage workshop layout; Ultimate Small Shop review","35.06","0.15","0.03","8.2","305","Seller: 75% front end and 50% back end; advertised front-end price $39. Confirm current funnel and rate.","Approval badge not shown; seller-specific acceptance and current terms still need confirmation.","Current full promotional terms need confirmation. Do not present advertised low setup costs or earnings as typical; safety and total tool costs need review.","English digital offer; US suitability inferred. US checkout, price and refund process not independently tested.","Seller affiliate materials available; sample guide not obtained.","Inspect the guide and confirm current terms. Build the DIY category before launching this offer; use current US tool prices and qualified safety input.","https://accounts.clickbank.com/master/dashboard/affiliate-marketplace?v=0.8760345200925472#/offer-details?offer=USMALLSHOP&clickUrl=https%3A%2F%2Fhop.clickbank.net%2F%3Faffiliate%3Dzzzzz%26vendor%3DUSMALLSHOP","https://ultimatesmallshop.com/aff","https://ultimatesmallshop.com/affiliates/","Marketplace and public seller affiliate page read; full terms, product and checkout not verified.","2026-09-19","Snapshot 2026-09-19. Marketplace-wide metrics, not US-only or blog-specific; not an earnings forecast or product endorsement. Average conversion commission includes initial and future commissions; EPC is net commission per click; gravity is a weighted affiliate-sales score. Blank numeric cells = unavailable; zero = displayed zero/rounded value, not proof of no sales. Seller rates may differ by affiliate. Keywords are ideas, not validated volume/difficulty. 107 unique listings screened across E-Commerce, Home & Garden, Cooking/Food/Wine, Green Products and sleep search; 29 selected for this comparison. Review order reflects topic fit, evidence and restrictions, not a calculated score. Products not independently tested; full checkout/refund experience not verified. Metric definitions: https://support.clickbank.com/en/articles/10535274-how-do-i-use-the-clickbank-marketplace-stats",""
"8","Later topic expansion","Sewing Pattern Secrets","SEWINGPLAN","Home crafts & sewing","Digital pattern library","Distinct craft content opportunity with higher observed commission than cookbooks, but requires a new topic cluster, whitelisting and strict URL rules.","A sewing pattern library: printing, sizing and beginner usability","printable sewing pattern library; beginner sewing patterns","63.62","0.36","0.24","1.8","472","Seller/listing: 75% on front end and upsells. Confirm the actual assigned commission group.","Whitelisting explicitly required by seller even though marketplace shows no approval badge; blogs/organic promotion permitted after acceptance.","No brand in domain, subdomain or URL path. Use a generic path such as /posts/sewing-pattern-library-review. No brand bidding; avoid Google Ads pending clarification; Meta requires approval.","English digital offer; US suitability inferred. US checkout, price and refund process not independently tested.","Seller offers approved creatives and Drive photos; inspect sample US Letter/A4 patterns and sizing before use.","Request whitelisting and a sample. Check current pattern count, sizing and print instructions; verify rights to reproduce any pattern excerpt.","https://accounts.clickbank.com/master/dashboard/affiliate-marketplace?v=0.8760345200925472#/offer-details?offer=SEWINGPLAN&clickUrl=https%3A%2F%2Fhop.clickbank.net%2F%3Faffiliate%3Dzzzzz%26vendor%3DSEWINGPLAN","https://sewingpatternsecrets.com/store-front1682693778531","","Marketplace and detailed seller affiliate terms read; pattern quality and whitelisting not verified.","2026-09-19","Snapshot 2026-09-19. Marketplace-wide metrics, not US-only or blog-specific; not an earnings forecast or product endorsement. Average conversion commission includes initial and future commissions; EPC is net commission per click; gravity is a weighted affiliate-sales score. Blank numeric cells = unavailable; zero = displayed zero/rounded value, not proof of no sales. Seller rates may differ by affiliate. Keywords are ideas, not validated volume/difficulty. 107 unique listings screened across E-Commerce, Home & Garden, Cooking/Food/Wine, Green Products and sleep search; 29 selected for this comparison. Review order reflects topic fit, evidence and restrictions, not a calculated score. Products not independently tested; full checkout/refund experience not verified. Metric definitions: https://support.clickbank.com/en/articles/10535274-how-do-i-use-the-clickbank-marketplace-stats",""
"9","Later topic expansion","My Shed Plans","SHEDPLANS","Garden & DIY","Digital building plans","Relevant shed-planning search intent and visible affiliate activity; observed CVR/EPC are much lower than the promotional headline. Quality and local-code suitability require review.","How to choose a shed plan: dimensions, materials and permits","shed plan buying checklist; My Shed Plans review","32.68","0.14","0.05","23.9","121","75% stated in marketplace listing; confirm front-end/upsell scope and current rate.","Approval badge not shown; seller-specific acceptance and current terms still need confirmation.","Full current affiliate terms not verified. Do not imply plans satisfy every US building code or promise the advertised conversion rates.","English digital offer; US suitability inferred. US checkout, price and refund process not independently tested.","Seller affiliate resource page supplies promotional graphics, articles and a rebrandable PDF. Plan quality/licensing not independently checked.","Review sample plans for measurements, materials and completeness; confirm promotion rights and explain local permit/site requirements.","https://accounts.clickbank.com/master/dashboard/affiliate-marketplace?v=0.8760345200925472#/offer-details?offer=SHEDPLANS&clickUrl=https%3A%2F%2Fhop.clickbank.net%2F%3Faffiliate%3Dzzzzz%26vendor%3DSHEDPLANS","https://www.myshedplans.com/aff","https://www.myshedplans.com/affiliates-resources-c.htm","Marketplace and seller promotional resources read; current full terms and building-plan quality not verified.","2026-09-19","Snapshot 2026-09-19. Marketplace-wide metrics, not US-only or blog-specific; not an earnings forecast or product endorsement. Average conversion commission includes initial and future commissions; EPC is net commission per click; gravity is a weighted affiliate-sales score. Blank numeric cells = unavailable; zero = displayed zero/rounded value, not proof of no sales. Seller rates may differ by affiliate. Keywords are ideas, not validated volume/difficulty. 107 unique listings screened across E-Commerce, Home & Garden, Cooking/Food/Wine, Green Products and sleep search; 29 selected for this comparison. Review order reflects topic fit, evidence and restrictions, not a calculated score. Products not independently tested; full checkout/refund experience not verified. Metric definitions: https://support.clickbank.com/en/articles/10535274-how-do-i-use-the-clickbank-marketplace-stats",""
"10","Later topic expansion","Brain Training for Dogs","BRAINYDOGS","Pets & home life","Digital dog-training course","Potential practical enrichment content with visible affiliate activity. Pets is a separate editorial category and should not dilute the initial kitchen/home launch.","Online dog enrichment courses: lesson format and owner effort","brain games for dogs at home; Brain Training for Dogs review","42.35","0.25","0.1","15.7","187","Seller: 75% commission. Confirm current product price and assigned rate.","Approval badge not shown; seller-specific acceptance and current terms still need confirmation.","No impersonation, spam or copying other trainers material. Use original observations; do not promise to fix aggression or medical/behavioral problems.","English digital offer; US suitability inferred. US checkout, price and refund process not independently tested.","Affiliate resources available; course access and training outcomes not independently reviewed.","Review the course, verify trainer credentials and test suitable enrichment lessons. Launch only with a focused pets cluster and appropriate behavior caveats.","https://accounts.clickbank.com/master/dashboard/affiliate-marketplace?v=0.8760345200925472#/offer-details?offer=BRAINYDOGS&clickUrl=https%3A%2F%2Fhop.clickbank.net%2F%3Faffiliate%3Dzzzzz%26vendor%3DBRAINYDOGS","https://www.braintraining4dogs.com/affiliates/","","Marketplace and seller affiliate page/terms read; course and trainer credentials not independently verified.","2026-09-19","Snapshot 2026-09-19. Marketplace-wide metrics, not US-only or blog-specific; not an earnings forecast or product endorsement. Average conversion commission includes initial and future commissions; EPC is net commission per click; gravity is a weighted affiliate-sales score. Blank numeric cells = unavailable; zero = displayed zero/rounded value, not proof of no sales. Seller rates may differ by affiliate. Keywords are ideas, not validated volume/difficulty. 107 unique listings screened across E-Commerce, Home & Garden, Cooking/Food/Wine, Green Products and sleep search; 29 selected for this comparison. Review order reflects topic fit, evidence and restrictions, not a calculated score. Products not independently tested; full checkout/refund experience not verified. Metric definitions: https://support.clickbank.com/en/articles/10535274-how-do-i-use-the-clickbank-marketplace-stats",""
